
---Writing 20 small files results---

 time: 0.000009993993 for thread 1
 time: 0.000010001007 for thread 2
 time: 0.000517136010 for thread 3
 time: 0.000005999987 for thread 4
 time: 0.000006276008 for thread 5
 time: 0.000006907008 for thread 6
 time: 0.000004951988 for thread 7
 time: 0.000005629990 for thread 8
 time: 0.001151853998 for thread 9
 time: 0.000004406000 for thread 10
 time: 0.000005078007 for thread 11
 time: 0.000004934991 for thread 12
 time: 0.000005116017 for thread 13
 time: 0.000004574016 for thread 14
 time: 0.000005835987 for thread 15
 time: 0.000004462985 for thread 16
 time: 0.000004217000 for thread 17
 time: 0.000004275003 for thread 18
 time: 0.000004779024 for thread 19
 time: 0.000004967005 for thread 20
Total time for all threads in execution 1: 0.001151853998

 time: 0.000002405024 for thread 1
 time: 0.000002875022 for thread 2
 time: 0.000002352986 for thread 3
 time: 0.000002926012 for thread 4
 time: 0.000002771994 for thread 5
 time: 0.000002581015 for thread 6
 time: 0.000002196000 for thread 7
 time: 0.000002390996 for thread 8
 time: 0.000003514986 for thread 9
 time: 0.000002516987 for thread 10
 time: 0.000002460001 for thread 11
 time: 0.000002357992 for thread 12
 time: 0.000002631015 for thread 13
 time: 0.000002682995 for thread 14
 time: 0.000002360990 for thread 15
 time: 0.000003429013 for thread 16
 time: 0.000003630004 for thread 17
 time: 0.000015735015 for thread 18
 time: 0.000002857007 for thread 19
 time: 0.000002757006 for thread 20
Total time for all threads in execution 2: 0.000015735015

 time: 0.000002463988 for thread 1
 time: 0.000004242000 for thread 2
 time: 0.000003262016 for thread 3
 time: 0.000002826011 for thread 4
 time: 0.000002966000 for thread 5
 time: 0.000002716988 for thread 6
 time: 0.000004014990 for thread 7
 time: 0.000002982997 for thread 8
 time: 0.000006653019 for thread 9
 time: 0.000002473011 for thread 10
 time: 0.000002485001 for thread 11
 time: 0.000002590998 for thread 12
 time: 0.000003299006 for thread 13
 time: 0.000002871995 for thread 14
 time: 0.000002322980 for thread 15
 time: 0.000002677989 for thread 16
 time: 0.000002744986 for thread 17
 time: 0.000003008987 for thread 18
 time: 0.000002629997 for thread 19
 time: 0.000003074994 for thread 20
Total time for all threads in execution 3: 0.000006653019

 time: 0.000002906017 for thread 1
 time: 0.000003282010 for thread 2
 time: 0.000002251996 for thread 3
 time: 0.000002788991 for thread 4
 time: 0.000002023997 for thread 5
 time: 0.000002011016 for thread 6
 time: 0.000002265006 for thread 7
 time: 0.000002001005 for thread 8
 time: 0.000002243003 for thread 9
 time: 0.000001976994 for thread 10
 time: 0.000003862020 for thread 11
 time: 0.000001843000 for thread 12
 time: 0.000003680005 for thread 13
 time: 0.000002045010 for thread 14
 time: 0.000034669996 for thread 15
 time: 0.000001968001 for thread 16
 time: 0.000002124987 for thread 17
 time: 0.000002529006 for thread 18
 time: 0.000002040004 for thread 19
 time: 0.000002148998 for thread 20
Total time for all threads in execution 4: 0.000034669996

 time: 0.000003548979 for thread 1
 time: 0.000002982997 for thread 2
 time: 0.000003316003 for thread 3
 time: 0.000002762012 for thread 4
 time: 0.000002929999 for thread 5
 time: 0.000003096997 for thread 6
 time: 0.000002665009 for thread 7
 time: 0.000002292974 for thread 8
 time: 0.000003140012 for thread 9
 time: 0.000002699002 for thread 10
 time: 0.000004074012 for thread 11
 time: 0.000003558001 for thread 12
 time: 0.000004036992 for thread 13
 time: 0.000002560002 for thread 14
 time: 0.000003490015 for thread 15
 time: 0.000006929011 for thread 16
 time: 0.000003470981 for thread 17
